algs,dataset,weighted,optimized,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
(svm_rf_mlp)_w,bankruptcy,True,False,0.94,0.93,0.95,0.94,0.96,0.02,0.45
(svm_rf_mlp),bankruptcy,False,False,1.00,1.00,1.00,1.00,0.95,0.02,0.15
(knn_mnb_rf)_w_opt,bankruptcy,True,True,0.98,0.99,0.97,0.98,0.95,0.01,0.47
(knn_mnb_rf)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.96,0.02,0.25
(knn_mnb_rf)_w,bankruptcy,True,False,1.00,1.00,1.00,1.00,0.96,0.02,0.08
(knn_mnb_rf),bankruptcy,False,False,1.00,1.00,1.00,1.00,0.95,0.02,0.05
(knn_mnb_mlp)_w_opt,bankruptcy,True,True,0.78,0.86,0.75,0.75,0.95,0.02,0.40
(knn_mnb_mlp)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.95,0.02,0.13
(knn_mnb_mlp)_w,bankruptcy,True,False,0.94,0.94,0.93,0.94,0.95,0.02,0.41
(knn_mnb_mlp),bankruptcy,False,False,0.92,0.94,0.90,0.92,0.95,0.02,0.13
(knn_rf_mlp)_w_opt,bankruptcy,True,True,1.00,1.00,1.00,1.00,0.96,0.02,0.84
(knn_rf_mlp)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.95,0.01,0.36
(knn_rf_mlp)_w,bankruptcy,True,False,0.98,0.98,0.98,0.98,0.95,0.02,0.45
(knn_rf_mlp),bankruptcy,False,False,1.00,1.00,1.00,1.00,0.96,0.02,0.16
(mnb_rf_mlp)_w_opt,bankruptcy,True,True,0.94,0.94,0.93,0.93,0.96,0.03,0.83
(mnb_rf_mlp)_opt,bankruptcy,False,True,0.76,0.77,0.73,0.73,0.95,0.01,0.35
(mnb_rf_mlp)_w,bankruptcy,True,False,1.00,1.00,1.00,1.00,0.96,0.02,0.44
(mnb_rf_mlp),bankruptcy,False,False,0.94,0.95,0.93,0.94,0.95,0.02,0.14
(svm_knn_mnb_rf_mlp)_w_opt,bankruptcy,True,True,0.98,0.98,0.98,0.98,0.96,0.02,0.86
(svm_knn_mnb_rf_mlp)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.95,0.02,0.36
(svm_knn_mnb_rf_mlp)_w,bankruptcy,True,False,0.98,0.98,0.98,0.98,0.95,0.02,0.47
(svm_knn_mnb_rf_mlp),bankruptcy,False,False,0.96,0.96,0.96,0.96,0.95,0.01,0.16
(svm)_opt,breast_cancer,False,True,0.95,0.94,0.94,0.94,0.96,0.02,0.04
(svm),breast_cancer,False,False,0.96,0.96,0.96,0.96,0.95,0.02,0.01
(knn)_opt,breast_cancer,False,True,0.96,0.95,0.97,0.96,0.96,0.02,0.04
(knn),breast_cancer,False,False,0.98,0.97,0.98,0.98,0.95,0.02,0.04
(mnb)_opt,breast_cancer,False,True,0.87,0.91,0.82,0.84,0.96,0.02,0.01
(mnb),breast_cancer,False,False,0.84,0.87,0.80,0.81,0.96,0.02,0.01
(rf)_opt,breast_cancer,False,True,0.96,0.96,0.96,0.96,0.96,0.02,0.58
